name,brand,category,price,claim_type,kcal,sugar_g,carb_g,sweeteners(쉼표구분),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL)
저당 망고 쫀득바 아이스크림,라라스윗,간식/디저트,28900,,80,4,24,"알룰로스,아세설팜칼륨,효소처리스테비아,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0NMBG53AXBR00.png,https://zerofinder.co.kr/public/nutritionfacts/0NMBG670W7R00.png,https://zerofinder.co.kr/product/0NMBGKSFAKR00
저당 멜론 쫀득바 아이스크림,라라스윗,간식/디저트,28900,저당류,75,3,24,"알룰로스,수크랄로스,아세설팜칼륨,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0NMBCEAJ5KR00.png,https://zerofinder.co.kr/public/nutritionfacts/0NMBCGW5YKR00.png,https://zerofinder.co.kr/product/0NMBFHQ433R00
망고 생요거트 파인트 474mL,라라스윗,간식/디저트,5900,저당류,80,3,17,"알룰로스,에리스리톨,아세설팜칼륨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0NPYBRBQS8800.png,https://zerofinder.co.kr/public/nutritionfacts/0NMBB9AFAKR00.png,https://zerofinder.co.kr/product/0NMBBYNJRKR00
저당 골드키위파인 듬뿍바 아이스크림,라라스윗,간식/디저트,9900,,55,4,18,"알룰로스,수크랄로스,아세설팜칼륨,에리스리톨",,50,https://zerofinder.co.kr/public/products/original/0NMB8TG777R00.png,https://zerofinder.co.kr/public/nutritionfacts/0NMB8VV7ZKR00.png,https://zerofinder.co.kr/product/0NMB9H20MFR00
저당 애플망고 생요거트바 아이스크림,라라스윗,간식/디저트,7110,저당류,75,3,18,"알룰로스,에리스리톨,아세설팜칼륨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0NMAY8CPRZR00.png,https://zerofinder.co.kr/public/nutritionfacts/0NMAYAFF2BR00.png,https://zerofinder.co.kr/product/0NMB5ADFB3R00
덴마크 드링킹 요구르트 제로 플레인,동원F&B(에프앤비) 정읍공장,유제품,,저당류,47,4.73,10.18,,,50,https://zerofinder.co.kr/public/products/original/0NJQJWR07V000.png,https://zerofinder.co.kr/public/nutritionfacts/0NJQJY6W93000.png,https://zerofinder.co.kr/product/0PCNV3FZFXHG7
덴마크 드링킹 요구르트 제로 사과,동원,유제품,,저당류,47,4.73,9.82,말티톨,,50,https://zerofinder.co.kr/public/products/original/0NJQHYNRRF000.png,https://zerofinder.co.kr/public/nutritionfacts/0NJQJ8B8G3000.png,https://zerofinder.co.kr/product/0PCNV3FZDMZ1D
제로윗 당제로 초코 모나카,펄세스,간식/디저트,,무당류,106,0,20.72,"알룰로스,에리스리톨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0NJQGDAWVZ000.png,https://zerofinder.co.kr/public/nutritionfacts/0NJQGM3FWQ000.png,https://zerofinder.co.kr/product/0PCNV3FZDGNC6
제로아워 알파시디 애사비 사과맛,건강한사람들,음료,,무당류,3,0,3.14,"에리스리톨,수크랄로스,스테비올 배당체",,50,https://zerofinder.co.kr/public/products/original/0NJQFWBSZV000.png,,https://zerofinder.co.kr/product/0PCNV3FZDETPZ
모구모구 제로슈가 써머베리,모구모구,음료,,무당류,8,0,2,"아세설팜칼륨,수크랄로스,스테비올 배당체",,50,https://zerofinder.co.kr/public/products/original/0NJQF58AGV000.png,,https://zerofinder.co.kr/product/0PCNV3FZD9BT1
